workload,container,config,precision,mbs,gbs,gb300_s_iter,gb300_tflops_per_gpu,gb300_tokens_s_per_gpu,gb300_status,vr200_s_iter,vr200_tflops_per_gpu,vr200_tokens_s_per_gpu,vr200_status,vr200_vs_gb300_pct
llama3.1-8b,26.06.01,bf16_fbre_1_8,"bf16 (fallback, recompute)",1,8,3.457,243.91,4739,ok,2.504,336.81,6543,ok,38.1
llama3.1-8b,26.06.01,bf16_fbre_1_32,"bf16 (fallback, recompute)",1,32,,,,,9.891,341.02,6626,ok,
llama3.1-8b,26.06.01,bf16_fbre_1_64,"bf16 (fallback, recompute)",1,64,27.364,246.54,4790,ok,19.743,341.70,6639,ok,38.6
llama3.1-8b,26.06.01,bf16_fbre_2_8,"bf16 (fallback, recompute)",2,8,3.410,247.32,4805,ok,2.460,342.88,6660,ok,38.6
llama3.1-8b,26.06.01,bf16_fbre_4_16,"bf16 (fallback, recompute)",4,16,,,,,4.843,348.27,6766,ok,
llama3.1-8b,26.06.01,bf16_fbnr_1_8,"bf16 (fallback, no recompute)",1,8,2.417,348.94,6779,ok,1.779,473.99,9210,ok,35.9
llama3.1-8b,26.06.01,bf16_fbnr_1_32,"bf16 (fallback, no recompute)",1,32,9.516,354.44,6887,ok,6.989,482.68,9377,ok,36.2
llama3.1-8b,26.06.01,bf16_fbnr_1_64,"bf16 (fallback, no recompute)",1,64,18.980,355.43,6906,ok,13.936,484.08,9405,ok,36.2
llama3.1-8b,26.06.01,bf16_fbnr_2_8,"bf16 (fallback, no recompute)",2,8,,,,oom_dense,,,,oom_dense,
llama3.1-8b,26.06.01,bf16_fbnr_4_16,"bf16 (fallback, no recompute)",4,16,,,,,,,,oom_dense,
llama3.1-8b,26.06.01,fp8cs_nat_2_8,fp8_cs,2,8,0.453,1860.35,36168,ok,,,,,
llama3.1-8b,26.06.01,fp8cs_nat_4_16,fp8_cs,4,16,0.860,1962.03,38102,ok,,,,,
llama3.1-8b,26.06.01,fp8cs_nat_8_32,fp8_cs,8,32,,,,oom_dense,,,,,
llama3.1-8b,26.06.01,fp8cs_nat_8_128,fp8_cs,8,128,,,,oom_dense,,,,,
llama3.1-8b,26.06.01,nvfp4_nat_1_8,nvfp4,1,8,,,,fp8_dpa_no_backend,,,,,
llama3.1-8b,26.06.01,nvfp4_nat_2_8,nvfp4,2,8,0.353,2392.00,46414,ok,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4_nat_4_16,nvfp4,4,16,0.647,2607.07,50646,ok,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4_nat_4_64,nvfp4,4,64,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4_nat_4_128,nvfp4,4,128,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4_nat_4_256,nvfp4,4,256,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4_nat_8_32,nvfp4,8,32,,,,oom_dense,,,,,
llama3.1-8b,26.06.01,fp8cs-v2_nat_2_8,fp8_cs v2,2,8,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,fp8cs-v2_nat_4_16,fp8_cs v2,4,16,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,fp8cs-v2_nat_4_256,fp8_cs v2,4,256,,,,,,,,ptxas_no_target,
llama3.1-8b,26.06.01,nvfp4-v2_nat_4_16,nvfp4 v2,4,16,,,,,,,,ptxas_no_target,
llama3.1-8b,26.08.00,bf16_fbre_1_8,"bf16 (fallback, recompute)",1,8,3.400,236.61,4819,ok,2.455,327.76,6674,ok,38.5
llama3.1-8b,26.08.00,bf16_fbre_1_32,"bf16 (fallback, recompute)",1,32,,,,,9.712,331.37,6748,ok,
llama3.1-8b,26.08.00,bf16_fbre_1_64,"bf16 (fallback, recompute)",1,64,,,,,19.406,331.68,6754,ok,
llama3.1-8b,26.08.00,bf16_fbre_2_8,"bf16 (fallback, recompute)",2,8,,,,,2.409,333.92,6801,ok,
llama3.1-8b,26.08.00,bf16_fbre_4_16,"bf16 (fallback, recompute)",4,16,,,,,4.754,338.45,6893,ok,
llama3.1-8b,26.08.00,bf16_fbnr_1_8,"bf16 (fallback, no recompute)",1,8,,,,,1.731,464.84,9465,ok,
llama3.1-8b,26.08.00,bf16_fbnr_1_32,"bf16 (fallback, no recompute)",1,32,,,,,6.826,471.45,9601,ok,
llama3.1-8b,26.08.00,bf16_fbnr_1_64,"bf16 (fallback, no recompute)",1,64,,,,,13.604,473.13,9635,ok,
llama3.1-8b,26.08.00,bf16_fbnr_2_8,"bf16 (fallback, no recompute)",2,8,,,,,,,,oom_dense,
llama3.1-8b,26.08.00,bf16_fbnr_4_16,"bf16 (fallback, no recompute)",4,16,,,,,,,,oom_dense,
llama3.1-8b,26.08.00,fp8cs_nat_2_8,fp8_cs,2,8,0.420,1916.32,39010,ok,,,,,
llama3.1-8b,26.08.00,fp8cs_nat_4_16,fp8_cs,4,16,0.810,1987.11,40454,ok,,,,,
llama3.1-8b,26.08.00,nvfp4_nat_2_8,nvfp4,2,8,0.317,2536.95,51685,ok,,,,ptxas_no_target,
llama3.1-8b,26.08.00,nvfp4_nat_4_16,nvfp4,4,16,0.575,2797.83,56988,ok,,,,ptxas_no_target,
llama3.1-8b,26.08.00,nvfp4_nat_4_64,nvfp4,4,64,2.211,2910.78,59282,ok,,,,ptxas_no_target,
llama3.1-8b,26.08.00,nvfp4_nat_4_128,nvfp4,4,128,4.417,2914.67,59349,ok,,,,ptxas_no_target,
llama3.1-8b,26.08.00,nvfp4_nat_4_256,nvfp4,4,256,8.828,2916.25,59389,ok,,,,ptxas_no_target,
llama3.1-8b,26.08.00,fp8cs-v2_nat_2_8,fp8_cs v2,2,8,,,,,,,,ptxas_no_target,
llama3.1-8b,26.08.00,fp8cs-v2_nat_4_16,fp8_cs v2,4,16,,,,,,,,ptxas_no_target,
llama3.1-8b,26.08.00,fp8cs-v2_nat_4_256,fp8_cs v2,4,256,,,,,,,,ptxas_no_target,
llama3.1-8b,26.08.00,nvfp4-v2_nat_4_16,nvfp4 v2,4,16,0.579,2778.50,56594,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,bf16_fb_1_256,bf16 (fallback),1,256,37.202,162.12,7047,ok,28.189,213.98,9300,ok,32.0
qwen3-30b-a3b,26.06.01,bf16_fb_2_256,bf16 (fallback),2,256,,,,,,,,oom_moe,
qwen3-30b-a3b,26.06.01,bf16_fb_4_256,bf16 (fallback),4,256,,,,,,,,oom_moe,
qwen3-30b-a3b,26.06.01,bf16_nat_1_256,bf16,1,256,33.350,180.84,7860,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,bf16_nat_2_256,bf16,2,256,17.427,346.08,15042,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,bf16_nat_4_256,bf16,4,256,10.756,560.69,24372,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,bf16_nat_8_256,bf16,8,256,,,,oom_moe,,,,,
qwen3-30b-a3b,26.06.01,fp8cs_nat_1_256,fp8_cs,1,256,53.072,113.64,4939,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,fp8cs_nat_2_256,fp8_cs,2,256,27.801,216.93,9429,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,fp8cs_nat_4_256,fp8_cs,4,256,,,,,,,,ptxas_no_target,
qwen3-30b-a3b,26.06.01,fp8cs_nat_8_256,fp8_cs,8,256,,,,oom_moe,,,,,
qwen3-30b-a3b,26.08.00,bf16_fb_2_256,bf16 (fallback),2,256,,,,,,,,oom_moe,
qwen3-30b-a3b,26.08.00,bf16_fb_4_256,bf16 (fallback),4,256,,,,,,,,oom_moe,
qwen3-30b-a3b,26.08.00,bf16_nat_1_256,bf16,1,256,32.335,186.50,8107,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.08.00,bf16_nat_2_256,bf16,2,256,16.575,363.82,15816,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.08.00,bf16_nat_4_256,bf16,4,256,10.813,557.66,24243,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.08.00,fp8cs_nat_1_256,fp8_cs,1,256,,,,unknown,,,,ptxas_no_target,
qwen3-30b-a3b,26.08.00,fp8cs_nat_2_256,fp8_cs,2,256,26.402,228.40,9929,ok,,,,ptxas_no_target,
qwen3-30b-a3b,26.08.00,fp8cs_nat_4_256,fp8_cs,4,256,,,,unknown,,,,ptxas_no_target,
